"Description"
"An application to be a Newsboy for the Afro-American submitted by Mrs. C. B. Berry."
"A blank Lighthouse and Informer receipt."
"A solicitor's record, home office order, and subscriber's report made by the Lighthouse."
"The back of a remittance envelope for the Lighthouse."
"The front of a Lighthouse remittance envelope."
"An ad about the Chicken Special for the Pig Trail Inn."
"A letter from Harold R. Washington about the Lighthouse and Harold's Tailoring."
"A prospectus of the Lighthouse with permanent publication schedules, operational procedures, and planned promotions."
"Temporary and Permanent Operating Costs including office printing supplies, rent, phone, heat, travel commissions, printing, manager, bookkeeper, advertising manager, editorial department, circulation department, weekly printing, and license."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Kennedy and Mr. Coleman with three names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Alexander with two names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Brown with fourt names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Brown with four names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Kennedy with six names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mr. Woods with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Miss Williams with five names."
"A sign-up sheet for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Miller with four names."
"A sign-up for the Lighthouse Newspaper sent by J. W. Witherspoon to Mrs. Lybraud with two names."
"The Lighthouse Data Ad Sales People including the first edition report, rates, measurements, deadlines, market, and staff and personnel."
"A letter from the Lighthouse to John H. McCray about the Lighthouse including publishing, subscription rates, advertising rates, and deadlines."
"A business card for John H. McCray, editor and publisher, of the Lighthouse."
"A letter from Lighthouse Editorials about surrending ro race mongering."
"A data sheet for ad sales people about the Lighthouse with a first edition report, rates, measurements, deadlines, market, staff, and personnel."
"A statement form for the service, edition, and charges for the Lighthouse."
"A business card for the Lighthouse."
"A blank letter form from the Lighthouse Executive Office."
"An envelope from the Lighthouse."
"A blank newspaper order form from the Lighthouse."
"A document listing the different papers, trains, and zones in South Carolina."
"A card detailing the rates for the Lighthouse including advertising space, deadlines, mechanics, and subscriptions."
""
"A letter from Franklin H. Whittaker to Mr. John McCray, Sr. about McCray's circulation work and his pay."
"Post Office Department Return Receipt, Insured Parcel 19499, signed by H. Guerry, page 2 of 2"
"The Platform of the Progressive Democratic Party of South Carolina, page 1 of 2"
"The Platform of the Progressive Democratic Party of South Carolina, page 2 of 2"
"Rules of the Progressive Democratic Party of South Carolina, page 1 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 2 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 3 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 4 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 5 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 6 of 7"
"Rules of the Progressive Democratic Party of South Carolina, page 7 of 7"
"A partial copy of a document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 1 of 2."
"A partial copy of a document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 2 of 2."
"A document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 1 of 5."
"A document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 2 of 5."
"A document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 3 of 5."
"A document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 4 of 5."
"A document explaining in simple language and terms what to do before and on the election day of November 7, 1944, when to do it, and where to do it, page 5 of 5."
"A document encouraging people to register to vote and voting in elections, circa 1944, page 1 of 2."
"A document encouraging people to register to vote and voting in elections, circa 1944, page 2 of 2."
"The Program of the Progressive Democratic Party with its submission Osceola E. McKaine for U. S. Senator, 1944."
"A document from the Progressive Democratic Party (S.C.) on how to organize for voting, 1944."
"A document from the Progressive Democratic Party (S.C.) on the procedures for county and club organization, 1944, page 1 of 2."
"A document from the Progressive Democratic Party (S.C.) on the procedures for county and club organization, 1944, page 2 of 2."
"A proposal document for a declatory conference on civil rights, 1944."
"Press release from the Pontier Democratic Association, Inc. (N.Y.), circa 1944."
"A letter to the public about contributing to the Progressive Democratic Party of South Carolina"
"A list of resolutions from the Progressive Democratic Party of South Carolina, 1944, page 1 of 2."
"A list of resolutions from the Progressive Democratic Party of South Carolina, 1944, page 2 of 2."
"A list of resolutions from the Progressive Democratic Party of South Carolina (draft), 1944, page 1 of 2."
"A list of resolutions from the Progressive Democratic Party of South Carolina (draft), 1944, page 2 of 2."
"A roster of members of the National Citizens Political Action Committee, 1944, page 1 of 4."
"A roster of members of the National Citizens Political Action Committee, 1944, page 2 of 4."
"A roster of members of the National Citizens Political Action Committee, 1944, page 3 of 4."
"A roster of members of the National Citizens Political Action Committee, 1944, page 4 of 4."
"A few snappy answers for Replican and uneletom saboteurs., 1944, page 1 of 2."
"A few snappy answers for Replican and uneletom saboteurs., 1944, page 2 of 2."
"Pep Slogans and Campaign Song for the Progressive Democratic Party of South Carolina."
"The Program of the Progressive Democratic Party with its submission Osceola E. McKaine for U. S. Senator (copy), 1944."
"A notice of intention to challenge the General Election, page 1 of 2."
"A notice of intention to challenge the General Election, page21 of 2."
"Post Office Department Return Receipt, Insured Parcel 17367, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17367, signed by V. A. Long, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17351, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17351, signed by H. D. Harren, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17362, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17362, signed by Mrs. W. M. Uootu, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17371, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17371, signed by E. M., page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17351, signed by D. L. Gery, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17373, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17373, signed by Lee Glenn, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17347, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17347, signed by J. H. M., page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17352, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17352, signed by Laweehs, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17354, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17354, signed by Mrs. Brown, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17378, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17378, signed by W. K. Power and Hattie L. Holley, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel unnumbered, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel unnumbered, signed by H. E. D., page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17381, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17381, signed by J. Frank Mattison, page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17349, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17349, signed by I. B., page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17375, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17375, signed by D. E. B. and Y. S. O., page 2 of 2"
"Post Office Department Return Receipt, Insured Parcel 17368, Return to Progressive Democratic Party, Columbia, S. C., page 1 of 2"
"Post Office Department Return Receipt, Insured Parcel 17368, signed by Marium S., page 2 of 2"
"Newspaper article, 1945 March 24, Clipping from a newspaper entitled: This Publication is dedicated to Bishop Frank Madison Reid"
"Newspaper article, 1945 March 24, Clipping from a newspaper entitled: This Publication is dedicated to Bishop Frank Madison Reid, page 2"
"Newspaper article, 1945 March 24, Clipping from a newspaper entitled: Palmetto Annual Conference Subscribers-Mt. Pleasant, S.C. October 1944"
"Newspaper article, 1945 March 24, Clipping from a subsection of a newspaper article entitled: South Carolina Conference Subscribers, Aiken, Nov. 11, 1944"
"Newspaper article, 1945 March 24, Clipping from a subsection of a newspaper article entitled: Subscribers from Charleston Address Charleston S. C."
"List, No Date, List of Clergy, dates, and cities, page 1."
"List, No Date, List of Clergy, dates, and cities, page 2."
"List, No Date, List of Clergy Speakers, cities, and dates, page 1."
"List, No Date, List of Clergy Speakers, cities, and dates, page 2."
"List, No Date, List of Clergy Speakers, cities, and dates, page 3."
"List, No Date, List of Clergy Speakers, cities, and dates, page 4."
"Letter, No Date, A rough draft of a letter asking county chairmen for the names of general enrollment of party members in clubs, wards, precincts, and auxiliaries with a list of counties"
"Letter, No Date, A rough draft of a letter asking for the names of general enrollment of party members in clubs, wards, precincts, and auxiliaries with a list of clergy speakers and dates"
"List, 1945 July 15, List of Clergy Speakers, cities, and dates July 15 to July 29, page 5"
"List, 1945 July 27, List of Clergy Speakers, cities, and dates July 27 1945-July 11, 1945, page 6"
"List, No Date, List of Clergy Speakers, cities, and dates August 11 to August 15, page 7"
"List, No Date, List of Clergy Speakers, cities, and dates August 19-September 9, page 8"
"List, No Date, List of Clergy Speakers, cities, and dates for June 27-Sept 30, page 9"
"List, No Date, List of Clergy Speakers, cities, and dates for June 27-July 18, page 10"
"List, No Date, List of Clergy Speakers, cities, and dates for June July 18 to August 5, page 11"
"List, No Date, List of Clergy Speakers, cities, and dates for August 9 to September 12, page 12"
"List, No Date, List of Clergy Speakers, cities, and dates for September 16-September 30, page 13"
"List, No Date, A list of Newspapers and addresses"
"List, No Date, List of names and cities in Chesterfield County"
"Letter, No Date, O. E. McKaine  and John H. McCray to Pastor about the Progressive Democratic Party"
"List, No Date, List of clergypeople in Allendale County, Bamberg County, and Aiken County, South Carolina"
"List, No Date, List of clergypeople in Aiken County (continued), Dorchester County, and Colleton County, South Carolina"
"List, No Date, List of clergypeople in Colleton County (continued), Orangeburg County, South Carolina"
"List, No Date, List of clergypeople in Beaufort County, Hamton County, Berkeley County, South Carolina"
"List, No Date, List of clergypeople in Berkeley County (continued), Charleston County, Sumter County, South Carolina"
"List, No Date, List of clergypeople in Sumter County (continued), Richland County, Calhoun County, Kershaw County, South Carolina"
"List, No Date, List of clergypeople in Darlington County, Lee County, Marlboro County, South Carolina"
"List, No Date, List of clergypeople in Chesterfield County, Dillon County, Horry County, Anderson County, South  Carolina"
"List, No Date, List of clergypeople in Anderson County, South Carolina"
"List, No Date, List of clergypeople in Pickens County, Greenville County, South Carolina"
"List, No Date, List of clergypeople in Greenville County (continued), Oconee County, Horry County, Charleston County, South Carolina"
"List, No Date, List of clergypeople in Charleston County, Williamsburg County, Florence County, South Carolina"
"List, No Date, List of clergypeople in Florence County (continued), Laurens County, South Carolina"
"List, No Date, List of clergypeople in Laurens County (continued), Lexington County, Abbeville County, Union County, South Carolina"
"List, No Date, List of clergypeople in Union County (continued), Cherokee County, Clarendon County, South Carolina"
"List, No Date, List of clergypeople in Darlington County, Greenwood County, Marion County, Georgetown County, York County, Saluda County, Barnwell  County, Spartanburg County, Kershaw County, South Carolina"
"List, No Date, List of clergypeople in Newberry County, Sumter County, Fairfield County, Calhoun County, Colleton County, Orangeburg County, Chester County, Chesterfield County, Anderson County, Richland County, Aiken County, Newberry County, South Carolina"
"List, No Date, List of clergypeople in Aiken County, Newberry County, South Carolina"
"List, No Date, List of clergypeople in Florence County (continued), South Carolina"
"List, No Date, List of clergypeople in Lexington County, Spartanburg County, Charleston County, South Carolina"
